tier,brand_family,name,expression_type,image_url,id
1,1792,1792 Full Proof,Full Proof,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/0781fde8-a849-4a57-96fb-e7458d20d9ce.jpg,0781fde8-a849-4a57-96fb-e7458d20d9ce
1,Barrell,Barrell Foundation,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/4915de66-152e-41d4-b7fd-28d49332b233.jpg?t=1780177931476,4915de66-152e-41d4-b7fd-28d49332b233
1,Basil Hayden,Basil Hayden,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/df3159bf-316d-4f6d-b32f-740ef6628cd8.jpg?t=1779844511622,df3159bf-316d-4f6d-b32f-740ef6628cd8
1,Blanton's,Blanton's Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/5dbaa5c6-44cf-49cc-8b8d-4b22957d91a4.jpg?t=1780179561017,5dbaa5c6-44cf-49cc-8b8d-4b22957d91a4
1,Blue Note,Blue Note Uncut,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/f704d426-bb89-4c62-b350-bd8cb42fd72d.jpg?t=1780275543859,f704d426-bb89-4c62-b350-bd8cb42fd72d
1,Booker's,Booker's 2023-03 'Mighty Fine Batch',,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/d2b44867-7027-476c-99ed-4046c30e6849.jpg,d2b44867-7027-476c-99ed-4046c30e6849
1,Boone County,Boone County Eighteen 33 Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/bf7085ef-7eed-4ee5-a6a6-0c479c9f0301.jpg?t=1780179529678,bf7085ef-7eed-4ee5-a6a6-0c479c9f0301
1,Buckner's,"Buckner's Single Barrel, Cask Strength, Unfiltered",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/4ee393b7-7a1a-4053-8885-688e9af20727.jpg,4ee393b7-7a1a-4053-8885-688e9af20727
1,Castle & Key,"Castle & Key Restoration Rye, Single Barrel",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/71d2d787-d311-4fd9-a526-c40b45ee73a0.jpg,71d2d787-d311-4fd9-a526-c40b45ee73a0
1,Colonel E.H. Taylor,"Colonel E.H. Taylor Small Batch, Bottled-in-Bond",Small Batch,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7492d321-d674-40cb-a589-2cd9f43ba81e.jpg,7492d321-d674-40cb-a589-2cd9f43ba81e
1,Eagle Rare,"Eagle Rare Single Barrel, 10 Year",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/57dd54ad-63c9-4991-adee-c65f7b1ebbfd.jpg?t=1780181624878,57dd54ad-63c9-4991-adee-c65f7b1ebbfd
1,Elijah Craig,Elijah Craig Barrel Proof — Batch A125,Barrel Proof,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/5322c20b-8f2d-4af1-8ca6-eaf20000ad2b.jpg,5322c20b-8f2d-4af1-8ca6-eaf20000ad2b
1,Elijah Craig,Elijah Craig Barrel Proof — Private Barrel,Private Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/bfa5b824-f456-4056-b284-0984f7a0e3ed.jpg,bfa5b824-f456-4056-b284-0984f7a0e3ed
1,Elmer T. Lee,Elmer T. Lee Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/907349ab-3a74-4db4-926e-2ebaf324224c.jpg?t=1780181602525,907349ab-3a74-4db4-926e-2ebaf324224c
1,Evan Williams,Evan Williams Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/ed69db61-c84e-4aca-8343-740ceedae9e2.jpg,ed69db61-c84e-4aca-8343-740ceedae9e2
