Name,Price,Abv,Rating,Year_Made,Distillery,Mash_Bill,Flavor_Profile,Aging Period
"Jack Daniel's Bonded, 50%",30,50,97,2022,Jack Daniel Distillery,"80% corn, 12% malted barley, 8% rye","caramel, oak, vanilla, spice",4
"Four Roses Limited Edition Small Batch (2013 Release), 51.5%",85,51.5,97,2013,Four Roses Distillery,undisclosed,"fruity, spicy, caramel, vanilla, oak",15
"Parker's Heritage Collection, 'Golden Anniversary', 50%",150,50,97,2009,Heaven Hill Distillery,undisclosed,"caramel, oak, vanilla, spice, rich",20
"Old Forester Birthday Bourbon, 1994 vintage, 47%",40,47,96,1994,Old Forester Distillery (Brown-Forman),"72% corn, 18% rye, 10% malted barley","caramel, vanilla, oak, spice, fruity",12
"William Larue Weller, 67.4%",65,67.4,96,2022,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, rich",12
"William Larue Weller, 63.3%",70,63.3,96,2023,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, rich",12
"George T. Stagg, 71.4%",70,71.4,96,2016,Buffalo Trace Distillery,Undisclosed,"Rich, Cinnamon, Caramel, Vanilla, Oak",16.75
"George T. Stagg, 69.05%",80,69,96,2022,Buffalo Trace Distillery,undisclosed,"rich oak, caramel, vanilla, spice, dark fruit",16.33
"Jefferson's Presidential Select (Batch #1), 1991 Vintage, 17 year old, 47%",90,47,96,1991,Stitzel-Weller Distillery,undisclosed,"caramel, vanilla, oak, spice, dried fruit",17
"Four Roses Limited Edition Small Batch (2012 Release), 55.7%",90,55.7,96,2012,Four Roses Distillery,Undisclosed,"Rich fruit, spice, caramel, oak, vanilla",13
"William Larue Weller 12 year old (2018 Buffalo Trace Antique Collection), 62.85%",99,62.9,96,2018,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, cinnamon",12
"Booker s 2014-01  25th Anniversary Batch,  65.4%",100,65.4,96,2014,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","caramel, vanilla, spicy, oak, cinnamon",10.25
"Jefferson s Presidential Select, 18 year old, 47%",110,47,96,1991,Castle & Key Distillery (sourced by Jefferson's),undisclosed,"oak, vanilla, caramel, spice, dried fruit",18
"Elijah Craig 20 year old (Barrel No. 3735), 45%",150,45,96,2011,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","oak, caramel, vanilla, spice, dried fruit",20
"Four Roses Small Batch Limited Edition Al Young s 50th Anniversary (2017 Release), 54.49%",150,54.5,96,2017,Four Roses Distillery,undisclosed,"fruity, spicy, caramel, oak, vanilla",15.75
"Parker's Heritage Collection, 27 year old, 48%",200,48,96,2008,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","oak, vanilla, caramel, spice, leather",27
"Pappy Van Winkle, 45.2%",220,45.2,96,NA,Buffalo Trace Distillery,undisclosed,"oak, caramel, vanilla, spice, dried fruit",20
"John E. Fitzgerald Very Special Reserve 20 year old, 45%",300,45,96,2008,Heaven Hill Distillery,Undisclosed,"Rich oak, Caramel, Vanilla, Spicy, Dried fruit",20
"Evan Williams Single Barrel 2000 Vintage (Barrel No. 1), 43.3%",26,43.3,95,2000,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","Oak, Caramel, Vanilla, Spice, Honey",9.9
"George Dickel 11 year old Bottled in Bond (Distilled in Fall 2008), 50%",40,50,95,2008,Cascade Hollow Distillery,"84% corn, 8% rye, 8% malted barley","caramel, vanilla, oak, spice, orchard fruit",11
"Buffalo Trace Experimental Collection, 1995 Vintage,  American Oak Chips Seasoned,  45%",47,45,95,1995,Buffalo Trace Distillery,undisclosed,"oak, vanilla, spice, caramel",15.33
"Bulleit Blenders  Select (Batch 001), 50%",50,50,95,2020,Bulleit Distillery,undisclosed,"vanilla, oak, caramel, spice, dried fruit",9
"George Dickel 15 year old Single Barrel (No. L2029-5k-1010), 52.3%",60,52.3,95,2006,Cascade Hollow Distilling Co. (George Dickel),"84% corn, 8% rye, 8% malted barley","caramel, vanilla, oak, spice, dried fruit",15
"Knob Creek 12 year old, 50%",60,50,95,2019,Jim Beam Distillery,"75% corn, 13% rye, 12% malted barley","oak, caramel, vanilla, spice, toasted nuts",12
"George T. Stagg, 70.7%",65,70.7,95,2020,Buffalo Trace Distillery,Undisclosed,"Rich oak, caramel, vanilla, spice, dark fruit",15
"William Larue Weller, 66.75%",70,66.8,95,2022,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, dark fruit",12.5
"George T. Stagg, 71.3%",70,71.3,95,2016,Buffalo Trace Distillery,Undisclosed (Buffalo Trace Mash Bill #1),"Rich caramel, vanilla, oak, spice, dark fruit",15
"William Larue Weller, 61.7%",70,61.7,95,2021,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, rich",12.5
"George T. Stagg, 64.1%",70,64.1,95,2021,Buffalo Trace Distillery,undisclosed,"rich, caramel, oak, vanilla, spice",15
"William Larue Weller, 68.1%",70,68.1,95,2022,Buffalo Trace Distillery,undisclosed (Buffalo Trace wheated mash bill),"caramel, vanilla, oak, spice, rich",12.5
"Parker's Heritage Collection, First Edition, 1996 vintage, 61.3%",80,61.3,95,1996,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","caramel, vanilla, oak, spice, rich",11
"Woodford Reserve Master's Collection Four Grain, Batch #2, 46.2%",85,46.2,95,2008,Woodford Reserve Distillery,undisclosed,"toasted oak, caramel, spice, vanilla, grain",9
"William Larue Weller (Buffalo Trace Antique Collection 2017), 64.1%",90,64.1,95,2017,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, rich",12.5
"Barrell Vantage, 57.22%",90,57.2,95,2022,Barrell Craft Spirits,undisclosed,"toasted oak, caramel, spice, vanilla, dark fruit",7
"Jack Daniel s 12 year old, 53.5%",95,53.5,95,2023,Jack Daniel's Distillery,"80% corn, 12% malted barley, 8% rye","Oak, caramel, vanilla, spice, toasted wood",12
"George T. Stagg 15 year old (2018 Buffalo Trace Antique Collection), 62.45%",99,62.5,95,2018,Buffalo Trace Distillery,undisclosed,"caramel, oak, spice, vanilla, dark fruit",15
"George T. Stagg Kentucky Straight (Buffalo Trace Antique Collection 2020), 65.2%",99,65.2,95,2020,Buffalo Trace Distillery,undisclosed,"rich caramel, oak, vanilla, cinnamon, dark chocolate",15
