brand_family,expression,expression_type,name,is_core_range,tier,availability,price_usd,proof,abv,age,mash,spirit_type,producer,brand,id
1792,1792 Bottled in Bond,Bottled-in-Bond,1792 Bottled-in-Bond,Y,2,allocated,36,100,50,,"Undisclosed (Marketed as 'High rye,' and believed to be 15-25% rye)",bourbon,Barton 1792 (Sazerac),1792,e5253b95-5f9e-44bc-97c2-d3a069fe2b50
1792,1792 Full Proof,Full Proof,1792 Full Proof,Y,1,everyday,50,125,62.5,8,"Corn, Rye, Malted Barley",bourbon,Barton 1792 (Sazerac),1792,0781fde8-a849-4a57-96fb-e7458d20d9ce
1792,1792 Single Barrel,Single Barrel,1792 Single Barrel,Y,2,everyday,,98.6,49.3,,,bourbon,Barton 1792 (Sazerac),1792,b31ddd89-09e2-4de4-bad0-004d5f381096
1792,1792 Small Batch,Small Batch,1792 Small Batch Bourbon,Y,3,allocated,,92.2,46.1,,,bourbon,Barton 1792 (Sazerac),1792,96bbc853-4307-45c5-8360-6f49195bc72d
1792,1792 Sweet Wheat,,1792 Sweet Wheat,N,2,allocated,50,91.2,45.6,4,Undisclosed,bourbon,Barton 1792 (Sazerac),1792,b822bfca-3be3-4993-a44e-a188c7fd9e81
Angel's Envy,Angel's Envy,,Angel's Envy Port Barrel Finish,Y,2,allocated,54.99,100,50,6,,bourbon,Angel's Envy,Angel's Envy,7755aa39-9e75-4f4c-ba82-70cc9b499422
Angel's Envy,Angel's Envy Private Selection Port Barrel Finish,,"Angel's Envy Private Selection, Port Barrel Finish",N,2,everyday,,110,55,,"Corn, Rye, Malted Barley",bourbon,Angel's Envy,Angel's Envy,e821fce0-932c-4b6a-90e9-b841ef31e443
Angel's Envy,Angel's Envy Rye,,Angel's Envy Rye,Y,2,allocated,90,100,50,,"95% Rye, 5% Malted Barley",rye,Angel's Envy,Angel's Envy,d09fb1dc-1062-4829-8620-f7f00424bacf
Backbone Bourbon,Backbone Bourbon Backbone Decade Down Anniversary Edition,,Backbone Decade Down Anniversary Edition,N,4,allocated,,110,55,,,bourbon,Backbone Bourbon,Backbone Bourbon,3c0d5c68-9ba4-43ee-97ea-f44bb8b12911
Backbone Bourbon,Backbone Bourbon Backbone Prime Blended,,Backbone Prime Blended,N,3,seasonal,,104,52,,,bourbon,Backbone Bourbon,Backbone Bourbon,cceede7c-7d12-43bc-a3db-8c6fbffb6928
